code,country,prefix,city,latitude,longitude
PL00,PL,00,Warszawa,52.2330347639485,21.016834477825466
PL01,PL,01,Warszawa,52.25710174165457,20.952837590711177
PL02,PL,02,Warszawa,52.18796041412911,20.994262728380026
PL03,PL,03,Warszawa,52.2811080443828,21.036981414701803
PL04,PL,04,Warszawa,52.2414327294686,21.154578019323672
PL05,PL,05,Warszawa,52.15980049153468,21.06644139814309
PL06,PL,06,Pokojewo,52.94777918518519,20.795276666666666
PL07,PL,07,Wiśniewo,52.7698902461258,21.74035414767548
PL08,PL,08,Dąbrówka-Ług,52.109884811237926,22.157342054433713
PL09,PL,09,Zagroba,52.652778392282954,19.923006752411574
PL10,PL,10,Olsztyn,53.77199644444445,20.48639096296296
PL11,PL,11,Kominki,54.017576443264765,21.045253749170538
PL12,PL,12,Karwica Mazurska,53.60764592760181,21.425169909502262
PL13,PL,13,Burkat,53.33824221635884,20.110825593667546
PL14,PL,14,gmina Morąg,53.86804751131222,19.806208371040725
PL15,PL,15,Białystok,53.12996614420063,23.156987931034482
PL16,PL,16,Pięciowłóki,53.64759936668778,23.187643508549716
PL17,PL,17,Pasieka,52.66739508867666,23.12103028649386
PL18,PL,18,Kołomyja,53.068835469314074,22.362285740072203
PL19,PL,19,Sordachy,53.80410213776722,22.47952434679335
PL20,PL,20,Lublin,51.23789796557121,22.558539593114244
PL21,PL,21,Wólka Zdunkówka,51.679191895910776,22.766964089219332
PL22,PL,22,Podwysokie,50.88253264033264,23.434979625779626
PL23,PL,23,Godziszów Pierwszy,50.79249922360248,22.481314285714284
PL24,PL,24,Wymysłów,51.23846498951782,22.06625890985325
PL25,PL,25,Kielce,50.84684689922481,20.614092635658917
PL26,PL,26,Broniów,51.27193864241349,20.814885004436558
PL27,PL,27,Bodzechów,50.913402204176336,21.45965475638051
PL28,PL,28,Nowy Folwark,50.49860304017373,20.669119652551576
PL29,PL,29,Ewina,50.833326086956525,19.967289440993788
PL30,PL,30,Kraków,50.032010862068965,19.95717896551724
PL31,PL,31,Kraków,50.07554921465969,19.971126352530543
PL32,PL,32,Kraków,50.08426442441054,20.064373300970875
